Kategorie,AlterVSort,Anzahl,Herkunft,Geschlecht
1950,56,68,Ausland,Männlich
2017,56,45,Schweiz,Weiblich
2017,56,29,Ausland,Weiblich
2017,56,28,Schweiz,Männlich
2017,56,50,Ausland,Männlich
1900,57,1740,Schweiz,Weiblich
1900,57,436,Ausland,Weiblich
1900,57,1521,Schweiz,Männlich
1900,57,619,Ausland,Männlich
1950,57,50,Schweiz,Weiblich
1950,57,30,Ausland,Weiblich
1950,57,53,Schweiz,Männlich
1950,57,48,Ausland,Männlich
2017,57,39,Schweiz,Weiblich
2017,57,38,Ausland,Weiblich
2017,57,40,Schweiz,Männlich
2017,57,47,Ausland,Männlich
1900,58,1712,Schweiz,Weiblich
1900,58,404,Ausland,Weiblich
1900,58,1500,Schweiz,Männlich
1900,58,540,Ausland,Männlich
1950,58,59,Schweiz,Weiblich
1950,58,33,Ausland,Weiblich
1950,58,48,Schweiz,Männlich
1950,58,53,Ausland,Männlich
2017,58,27,Schweiz,Weiblich
2017,58,26,Ausland,Weiblich
2017,58,36,Schweiz,Männlich
2017,58,32,Ausland,Männlich
1900,59,1586,Schweiz,Weiblich
1900,59,355,Ausland,Weiblich
1900,59,1492,Schweiz,Männlich
1900,59,524,Ausland,Männlich
1950,59,60,Schweiz,Weiblich
1950,59,31,Ausland,Weiblich
1950,59,40,Schweiz,Männlich
1950,59,47,Ausland,Männlich
2017,59,34,Schweiz,Weiblich
2017,59,22,Ausland,Weiblich
2017,59,37,Schweiz,Männlich
2017,59,27,Ausland,Männlich
1900,60,1603,Schweiz,Weiblich
1900,60,360,Ausland,Weiblich
1900,60,1498,Schweiz,Männlich
1900,60,479,Ausland,Männlich
1950,60,53,Schweiz,Weiblich
1950,60,19,Ausland,Weiblich
1950,60,48,Schweiz,Männlich
1950,60,68,Ausland,Männlich
2017,60,27,Schweiz,Weiblich
2017,60,18,Ausland,Weiblich
2017,60,24,Schweiz,Männlich
2017,60,31,Ausland,Männlich
1900,61,1516,Schweiz,Weiblich
1900,61,344,Ausland,Weiblich
1900,61,1321,Schweiz,Männlich
1900,61,445,Ausland,Männlich
1950,61,51,Schweiz,Weiblich
1950,61,27,Ausland,Weiblich
1950,61,55,Schweiz,Männlich
1950,61,30,Ausland,Männlich
2017,61,30,Schweiz,Weiblich
2017,61,18,Ausland,Weiblich
2017,61,28,Schweiz,Männlich
2017,61,22,Ausland,Männlich
